# These mappings were derived from the XCCStoUni binary file but they don't
# seem to correspond to any character set of XCCS-3-3-0.  They appeared after
# the verified JIS mappings (character sets 60 to 164 in XCCS-JIS.TXT)
# and were therefore assigned successor character set numbers and XCCS codes.
# But they may be totally incorrect.

#  "164" JIS
0x7421	0x7684	#  的
0x78BC	0x9014	#  途
0x78BD	0x5B58	#  存
0x78BE	0x8A02	#  訂
0x78BF	0x76CA	#  益
0x78C0	0x85E5	#  藥
0x78C1	0x9EBB	#  麻
0x78C2	0x5F48	#  彈
0x78C3	0x8A5E	#  詞
0x78C4	0x4F38	#  伸
0x78C5	0x81E8	#  臨
0x78C6	0x6349	#  捉
0x78C7	0x592E	#  央
0x78C8	0x53F2	#  史
0x78C9	0x5C3A	#  尺
0x78CA	0x9069	#  適
0x78CB	0x5EB7	#  康
0x78CC	0x7686	#  皆
0x78CD	0x68C9	#  棉
0x78CE	0x4F11	#  休
0x78CF	0x5C0B	#  尋
0x78D0	0x652F	#  支
0x78D1	0x59BB	#  妻
0x78D2	0x5BA3	#  宣
0x78D3	0x679D	#  枝
0x78D4	0x723A	#  爺
0x78D5	0x7A4D	#  積
0x78D6	0x8CA0	#  負
0x78D7	0x5E2D	#  席
0x78D8	0x5439	#  吹
0x78D9	0x8702	#  蜂
0x78DA	0x6416	#  搖
0x78DB	0x5E95	#  底
0x78DC	0x9EA5	#  麥
0x78DD	0x9700	#  需
0x78DE	0x677F	#  板
0x78DF	0x51AC	#  冬
0x78E0	0x838A	#  莊
0x78E1	0x653B	#  攻
0x78E2	0x684C	#  桌
0x78E3	0x559D	#  喝
0x78E4	0x6982	#  概
0x78E5	0x8166	#  腦
0x78E6	0x6236	#  戶
0x78E7	0x69CD	#  槍
0x78E8	0x6E38	#  游
0x78E9	0x88DC	#  補
0x78EA	0x6068	#  恨
0x78EB	0x7570	#  異
0x78EC	0x8840	#  血
0x78ED	0x6575	#  敵
0x78EE	0x5A01	#  威
0x78EF	0x96C4	#  雄
0x78F0	0x5713	#  圓
0x78F1	0x7518	#  甘
0x78F2	0x5EE0	#  廠
0x78F3	0x8C6C	#  豬
0x78F4	0x8C48	#  豈
0x78F5	0x52C7	#  勇
0x78F6	0x7AE0	#  章
0x78F7	0x53F3	#  右
0x78F8	0x7239	#  爹
0x78F9	0x7260	#  牠
0x78FA	0x5024	#  値
0x78FB	0x7BC4	#  範
0x78FC	0x7CD6	#  糖
0x78FD	0x6750	#  材
0x78FE	0x5347	#  升

#  "171" JIS
0x7921	0x6F54	#  潔
0x7922	0x5883	#  境
0x7923	0x6190	#  憐
0x7924	0x65BD	#  施
0x7925	0x62B1	#  抱
0x7926	0x80A5	#  肥
0x7927	0x54E9	#  哩
0x7928	0x9732	#  露
0x7929	0x56F0	#  困
0x792A	0x5275	#  創
0x792B	0x9F13	#  鼓
0x792C	0x51B0	#  冰
0x792D	0x9867	#  顧
0x792E	0x822A	#  航
0x792F	0x5C01	#  封
0x7930	0x7235	#  爵
0x7931	0x5B63	#  季
0x7932	0x62DB	#  招
0x7933	0x7BC9	#  築
0x7934	0x86CB	#  蛋
0x7935	0x666E	#  普
0x7936	0x9806	#  順
0x7937	0x5E79	#  幹
0x7938	0x5F7C	#  彼
0x7939	0x901F	#  速
0x793A	0x7C89	#  粉
0x793B	0x6163	#  慣
0x793C	0x596C	#  奬
0x793D	0x53D4	#  叔
0x793E	0x79C1	#  私
0x793F	0x4F48	#  佈
0x7940	0x4F2F	#  伯
0x7941	0x7159	#  煙
0x7942	0x9192	#  醒
0x7943	0x7591	#  疑
0x7944	0x864E	#  虎
0x7945	0x96DC	#  雜
0x7946	0x6CBF	#  沿
0x7947	0x4FD7	#  俗
0x7948	0x7240	#  牀
0x7949	0x72E0	#  狠
0x794A	0x6BB5	#  段
0x794B	0x821E	#  舞
0x794C	0x7E3E	#  績
0x794D	0x79CB	#  秋
0x794E	0x767B	#  登
0x794F	0x7F6A	#  罪
0x7950	0x56B4	#  嚴
0x7951	0x6BD2	#  毒
0x7952	0x64CA	#  擊
0x7953	0x6CC1	#  況
0x7954	0x7AAE	#  窮
0x7955	0x7DAD	#  維
0x7956	0x52F8	#  勸
0x7957	0x756A	#  番
0x7958	0x4E39	#  丹
0x7959	0x78BA	#  確
0x795A	0x7A05	#  稅
0x795B	0x62CD	#  拍
0x795C	0x7A97	#  窗
0x795D	0x8DA3	#  趣
0x795E	0x74B0	#  環
0x795F	0x5747	#  均
0x7960	0x7D20	#  素
0x7961	0x6A6B	#  橫
0x7962	0x59D1	#  姑
0x7963	0x65C5	#  旅
0x7964	0x986F	#  顯
0x7965	0x66F2	#  曲
0x7966	0x77A7	#  瞧
0x7967	0x558A	#  喊
0x7968	0x5426	#  否
0x7969	0x5BC4	#  寄
0x796A	0x5E55	#  幕
0x796B	0x6012	#  怒
0x796C	0x9B2D	#  鬭
0x796D	0x6CE5	#  泥
0x796E	0x614B	#  態
0x796F	0x9748	#  靈
0x7970	0x695A	#  楚
0x7971	0x5999	#  妙
0x7972	0x639B	#  掛
0x7973	0x5F31	#  弱
0x7974	0x6DE8	#  淨
0x7975	0x5FD8	#  忘
0x7976	0x6FC0	#  激
0x7977	0x9AA8	#  骨
0x7978	0x7687	#  皇
0x7979	0x7947	#  祇
0x797A	0x54EA	#  哪
0x797B	0x59D3	#  姓
0x797C	0x719F	#  熟
0x797D	0x4ED9	#  仙
0x797E	0x5949	#  奉
0x79A1	0x9AEE	#  髮
0x79A2	0x4E92	#  互
0x79A3	0x6176	#  慶
0x79A4	0x63A1	#  採
0x79A5	0x9813	#  頓
0x79A6	0x7BC7	#  篇
0x79A7	0x4EA1	#  亡
0x79A8	0x7DA0	#  綠
0x79A9	0x5FCD	#  忍
0x79AA	0x5974	#  奴
0x79AB	0x84CB	#  蓋
0x79AC	0x6309	#  按
0x79AD	0x93AD	#  鎭
0x79AE	0x690D	#  植
0x79AF	0x7DE3	#  緣
0x79B0	0x8F09	#  載
0x79B1	0x8C50	#  豐
0x79B2	0x5018	#  倘
0x79B3	0x5BD2	#  寒
0x79B4	0x76E3	#  監
0x79B5	0x7D0D	#  納
0x79B6	0x6DDA	#  淚
0x79B7	0x5E16	#  帖
0x79B8	0x7CE7	#  糧
0x79B9	0x5354	#  協
0x79BA	0x8B66	#  警
0x79BB	0x64CD	#  操
0x79BC	0x675F	#  束
0x79BD	0x67B6	#  架
0x79BE	0x91DD	#  針
0x79BF	0x60DC	#  惜
0x79C0	0x9130	#  鄰
0x79C1	0x523A	#  刺
0x79C2	0x7070	#  灰
0x79C3	0x70C8	#  烈
0x79C4	0x912D	#  鄭
0x79C5	0x6B3A	#  欺
0x79C6	0x9663	#  陣
0x79C7	0x638C	#  掌
0x79C8	0x7BAD	#  箭
0x79C9	0x53DF	#  叟
0x79CA	0x8A0A	#  訊
0x79CB	0x80E1	#  胡
0x79CC	0x7926	#  礦
0x79CD	0x8056	#  聖
0x79CE	0x58C1	#  壁
0x79CF	0x9031	#  週
0x79D0	0x5BAE	#  宮
0x79D1	0x83AB	#  莫
0x79D2	0x5C3E	#  尾
0x79D3	0x66B4	#  暴
0x79D4	0x5A46	#  婆
0x79D5	0x502B	#  倫
0x79D6	0x5283	#  劃
0x79D7	0x8F9B	#  辛
0x79D8	0x98EE	#  飮
0x79D9	0x5BE7	#  寧
0x79DA	0x8A13	#  訓
0x79DB	0x676F	#  杯
0x79DC	0x5DDD	#  川
0x79DD	0x542B	#  含
0x79DE	0x9670	#  陰
0x79DF	0x9063	#  遣
0x79E0	0x8FAD	#  辭
0x79E1	0x4E08	#  丈
0x79E2	0x526F	#  副
0x79E3	0x5433	#  吳
0x79E4	0x8B00	#  謀
0x79E5	0x914D	#  配
0x79E6	0x984F	#  顏
0x79E7	0x526A	#  剪
0x79E8	0x9042	#  遂
0x79E9	0x76E4	#  盤
0x79EA	0x5B54	#  孔
0x79EB	0x9694	#  隔
0x79EC	0x68D2	#  棒
0x79ED	0x4FB5	#  侵
0x79EE	0x7981	#  禁
0x79EF	0x5976	#  奶
0x79F0	0x5077	#  偷
0x79F1	0x8EDF	#  軟
0x79F2	0x978B	#  鞋
0x79F3	0x888B	#  袋
0x79F4	0x73E0	#  珠
0x79F5	0x6CE2	#  波
0x79F6	0x7259	#  牙
0x79F7	0x722C	#  爬
0x79F8	0x4E59	#  乙
0x79F9	0x52E4	#  勤
0x79FA	0x9B6F	#  魯
0x79FB	0x512A	#  優
0x79FC	0x7F75	#  罵
0x79FD	0x535A	#  博
0x79FE	0x8FF0	#  述

#  "172" JIS
0x7A21	0x8D0A	#  贊
0x7A22	0x7248	#  版
0x7A23	0x6B98	#  殘
0x7A24	0x6D6A	#  浪
0x7A25	0x596A	#  奪
0x7A26	0x4EC1	#  仁
0x7A27	0x812B	#  脫
0x7A28	0x6B32	#  欲
0x7A29	0x594F	#  奏
0x7A2A	0x6ED1	#  滑
0x7A2B	0x7246	#  牆
0x7A2C	0x964D	#  降
0x7A2D	0x6E21	#  渡
0x7A2E	0x50C5	#  僅
0x7A2F	0x96F6	#  零
0x7A30	0x6A21	#  模
0x7A31	0x5F69	#  彩
0x7A32	0x5509	#  唉
0x7A33	0x5C64	#  層
0x7A34	0x6E1B	#  減
0x7A35	0x5E3D	#  帽
0x7A36	0x795D	#  祝
0x7A37	0x7FFB	#  翻
0x7A38	0x5922	#  夢
0x7A39	0x6101	#  愁
0x7A3A	0x6D25	#  津
0x7A3B	0x79FB	#  移
0x7A3C	0x5C3C	#  尼
0x7A3D	0x5C0A	#  尊
0x7A3E	0x5E7C	#  幼
0x7A3F	0x8A69	#  詩
0x7A40	0x4ED4	#  仔
0x7A41	0x5805	#  堅
0x7A42	0x8AA0	#  誠
0x7A43	0x80DE	#  胞
0x7A44	0x69AE	#  榮
0x7A45	0x6DFA	#  淺
0x7A46	0x70CF	#  烏
0x7A47	0x5DE7	#  巧
0x7A48	0x5510	#  唐
0x7A49	0x96F7	#  雷
0x7A4A	0x7169	#  煩
0x7A4B	0x7164	#  煤
0x7A4C	0x5BF8	#  寸
0x7A4D	0x6D89	#  涉
0x7A4E	0x8F38	#  輸
0x7A4F	0x8332	#  茲
0x7A50	0x95B1	#  閱
0x7A51	0x8836	#  蠶
0x7A52	0x518A	#  冊
0x7A53	0x4E4F	#  乏
0x7A54	0x85DD	#  藝
0x7A55	0x559A	#  喚
0x7A56	0x90F5	#  郵
0x7A57	0x7267	#  牧
0x7A58	0x5DE8	#  巨
0x7A59	0x614C	#  慌
0x7A5A	0x6843	#  桃
0x7A5B	0x4F5B	#  佛
0x7A5C	0x596E	#  奮
0x7A5D	0x74F6	#  瓶
0x7A5E	0x8FFD	#  追
0x7A5F	0x7D1B	#  紛
0x7A60	0x6C57	#  汗
0x7A61	0x5192	#  冒
0x7A62	0x59CA	#  姊
0x7A63	0x96EA	#  雪
0x7A64	0x585E	#  塞
0x7A65	0x57DF	#  域
0x7A66	0x6BEB	#  毫
0x7A67	0x6DB2	#  液
0x7A68	0x667A	#  智
0x7A69	0x5446	#  呆
0x7A6A	0x6E90	#  源
0x7A6B	0x8CDE	#  賞
0x7A6C	0x67F4	#  柴
0x7A6D	0x6C60	#  池
0x7A6E	0x51C6	#  准
0x7A6F	0x72D0	#  狐
0x7A70	0x8377	#  荷
0x7A71	0x8A2A	#  訪
0x7A72	0x63DA	#  揚
0x7A73	0x5049	#  偉
0x7A74	0x81E3	#  臣
0x7A75	0x66AB	#  暫
0x7A76	0x5E72	#  干
0x7A77	0x64E1	#  擡
0x7A78	0x632F	#  振
0x7A79	0x4F0A	#  伊
0x7A7A	0x8805	#  蠅
0x7A7B	0x7387	#  率
0x7A7C	0x62FE	#  拾
0x7A7D	0x7B56	#  策
0x7A7E	0x8CA7	#  貧
0x7AA1	0x640D	#  損
0x7AA2	0x5289	#  劉
0x7AA3	0x7897	#  碗
0x7AA4	0x5EF3	#  廳
0x7AA5	0x6DE1	#  淡
0x7AA6	0x74DC	#  瓜
0x7AA7	0x63A2	#  探
0x7AA8	0x677E	#  松
0x7AA9	0x907F	#  避
0x7AAA	0x60DF	#  惟
0x7AAB	0x7CFB	#  系
0x7AAC	0x8C46	#  豆
0x7AAD	0x6234	#  戴
0x7AAE	0x871C	#  蜜
0x7AAF	0x6B20	#  欠
0x7AB0	0x8B02	#  謂
0x7AB1	0x885D	#  衝
0x7AB2	0x5FE0	#  忠
0x7AB3	0x8015	#  耕
0x7AB4	0x5154	#  兔
0x7AB5	0x4E8E	#  于
0x7AB6	0x6696	#  暖
0x7AB7	0x7375	#  獵
0x7AB8	0x50D1	#  僑
0x7AB9	0x8216	#  舖
0x7ABA	0x6191	#  憑
0x7ABB	0x6148	#  慈
0x7ABC	0x707D	#  災
0x7ABD	0x64AD	#  播
0x7ABE	0x89BD	#  覽
0x7ABF	0x9304	#  錄
0x7AC0	0x6CF0	#  泰
0x7AC1	0x925B	#  鉛
0x7AC2	0x75BE	#  疾
0x7AC3	0x73BB	#  玻
0x7AC4	0x7A3B	#  稻
0x7AC5	0x4FAE	#  侮
0x7AC6	0x50B5	#  債
0x7AC7	0x5237	#  刷
0x7AC8	0x8352	#  荒
0x7AC9	0x8108	#  脈
0x7ACA	0x8AA4	#  誤
0x7ACB	0x5141	#  允
0x7ACC	0x5954	#  奔
0x7ACD	0x809A	#  肚
0x7ACE	0x7E69	#  繩
0x7ACF	0x90CE	#  郎
0x7AD0	0x61F7	#  懷
0x7AD1	0x8667	#  虧
0x7AD2	0x5272	#  割
0x7AD3	0x9589	#  閉
0x7AD4	0x9010	#  逐
0x7AD5	0x984D	#  額
0x7AD6	0x9920	#  餠
0x7AD7	0x7210	#  爐
0x7AD8	0x64FA	#  擺
0x7AD9	0x868A	#  蚊
0x7ADA	0x8A73	#  詳
0x7ADB	0x9072	#  遲
0x7ADC	0x865B	#  虛
0x7ADD	0x606D	#  恭
0x7ADE	0x9F3B	#  鼻
0x7ADF	0x9D09	#  鴉
0x7AE0	0x61B2	#  憲
0x7AE1	0x7A81	#  突
0x7AE2	0x79C0	#  秀
0x7AE3	0x5806	#  堆
0x7AE4	0x9913	#  餓
0x7AE5	0x64E6	#  擦
0x7AE6	0x4ECB	#  介
0x7AE7	0x4F54	#  佔
0x7AE8	0x4E95	#  井
0x7AE9	0x6247	#  扇
0x7AEA	0x8A55	#  評
0x7AEB	0x8CCA	#  賊
0x7AEC	0x6108	#  愈
0x7AED	0x4EAB	#  享
0x7AEE	0x7763	#  督
0x7AEF	0x78E8	#  磨
0x7AF0	0x798D	#  禍
0x7AF1	0x7372	#  獲
0x7AF2	0x72AF	#  犯
0x7AF3	0x5BA6	#  宦
0x7AF4	0x5957	#  套
0x7AF5	0x85A9	#  薩
0x7AF6	0x7F3A	#  缺
0x7AF7	0x80A1	#  股
0x7AF8	0x7D22	#  索
0x7AF9	0x5287	#  劇
0x7AFA	0x57F7	#  執
0x7AFB	0x6F01	#  漁
0x7AFC	0x67D3	#  染
0x7AFD	0x5360	#  占
0x7AFE	0x8C9D	#  貝
