CODEPAGE 932            ; Japanese - ANSI, OEM
0xb5	0x9ce9	;îµ
0xb6	0x567a	;î∂
0xb7	0x5859	;î∑
0xb8	0x86e4	;î∏
0xb9	0x96bc	;îπ
0xba	0x4f34	;î∫
0xbb	0x5224	;îª
0xbc	0x534a	;îº
0xbd	0x53cd	;îΩ
0xbe	0x53db	;îæ
0xbf	0x5e06	;îø
0xc0	0x642c	;î¿
0xc1	0x6591	;î¡
0xc2	0x677f	;î¬
0xc3	0x6c3e	;î√
0xc4	0x6c4e	;îƒ
0xc5	0x7248	;î≈
0xc6	0x72af	;î∆
0xc7	0x73ed	;î«
0xc8	0x7554	;î»
0xc9	0x7e41	;î…
0xca	0x822c	;î 
0xcb	0x85e9	;îÀ
0xcc	0x8ca9	;îÃ
0xcd	0x7bc4	;îÕ
0xce	0x91c6	;îŒ
0xcf	0x7169	;îœ
0xd0	0x9812	;î–
0xd1	0x98ef	;î—
0xd2	0x633d	;î“
0xd3	0x6669	;î”
0xd4	0x756a	;î‘
0xd5	0x76e4	;î’
0xd6	0x78d0	;î÷
0xd7	0x8543	;î◊
0xd8	0x86ee	;îÿ
0xd9	0x532a	;îŸ
0xda	0x5351	;î⁄
0xdb	0x5426	;î€
0xdc	0x5983	;î‹
0xdd	0x5e87	;î›
0xde	0x5f7c	;îﬁ
0xdf	0x60b2	;îﬂ
0xe0	0x6249	;î‡
0xe1	0x6279	;î·
0xe2	0x62ab	;î‚
0xe3	0x6590	;î„
0xe4	0x6bd4	;î‰
0xe5	0x6ccc	;îÂ
0xe6	0x75b2	;îÊ
0xe7	0x76ae	;îÁ
0xe8	0x7891	;îË
0xe9	0x79d8	;îÈ
0xea	0x7dcb	;îÍ
0xeb	0x7f77	;îÎ
0xec	0x80a5	;îÏ
0xed	0x88ab	;îÌ
0xee	0x8ab9	;îÓ
0xef	0x8cbb	;îÔ
0xf0	0x907f	;î
0xf1	0x975e	;îÒ
0xf2	0x98db	;îÚ
0xf3	0x6a0b	;îÛ
0xf4	0x7c38	;îÙ
0xf5	0x5099	;îı
0xf6	0x5c3e	;îˆ
0xf7	0x5fae	;î˜
0xf8	0x6787	;î¯
0xf9	0x6bd8	;î˘
0xfa	0x7435	;î˙
0xfb	0x7709	;î˚
0xfc	0x7f8e	;î¸

DBCSTABLE 188           ;LeadByte = 0x95

0x40	0x9f3b	;ï@
0x41	0x67ca	;ïA
0x42	0x7a17	;ïB
0x43	0x5339	;ïC
0x44	0x758b	;ïD
0x45	0x9aed	;ïE
0x46	0x5f66	;ïF
0x47	0x819d	;ïG
0x48	0x83f1	;ïH
0x49	0x8098	;ïI
0x4a	0x5f3c	;ïJ
0x4b	0x5fc5	;ïK
0x4c	0x7562	;ïL
0x4d	0x7b46	;ïM
0x4e	0x903c	;ïN
0x4f	0x6867	;ïO
0x50	0x59eb	;ïP
0x51	0x5a9b	;ïQ
0x52	0x7d10	;ïR
0x53	0x767e	;ïS
0x54	0x8b2c	;ïT
0x55	0x4ff5	;ïU
0x56	0x5f6a	;ïV
0x57	0x6a19	;ïW
0x58	0x6c37	;ïX
0x59	0x6f02	;ïY
0x5a	0x74e2	;ïZ
0x5b	0x7968	;ï[
0x5c	0x8868	;ï\
0x5d	0x8a55	;ï]
0x5e	0x8c79	;ï^
0x5f	0x5edf	;ï_
0x60	0x63cf	;ï`
0x61	0x75c5	;ïa
0x62	0x79d2	;ïb
0x63	0x82d7	;ïc
0x64	0x9328	;ïd
0x65	0x92f2	;ïe
0x66	0x849c	;ïf
0x67	0x86ed	;ïg
0x68	0x9c2d	;ïh
0x69	0x54c1	;ïi
0x6a	0x5f6c	;ïj
0x6b	0x658c	;ïk
0x6c	0x6d5c	;ïl
0x6d	0x7015	;ïm
0x6e	0x8ca7	;ïn
0x6f	0x8cd3	;ïo
0x70	0x983b	;ïp
0x71	0x654f	;ïq
0x72	0x74f6	;ïr
0x73	0x4e0d	;ïs
0x74	0x4ed8	;ït
0x75	0x57e0	;ïu
0x76	0x592b	;ïv
0x77	0x5a66	;ïw
0x78	0x5bcc	;ïx
0x79	0x51a8	;ïy
0x7a	0x5e03	;ïz
0x7b	0x5e9c	;ï{
0x7c	0x6016	;ï|
0x7d	0x6276	;ï}
0x7e	0x6577	;ï~
0x80	0x65a7	;ïÄ
0x81	0x666e	;ïÅ
0x82	0x6d6e	;ïÇ
0x83	0x7236	;ïÉ
0x84	0x7b26	;ïÑ
0x85	0x8150	;ïÖ
0x86	0x819a	;ïÜ
0x87	0x8299	;ïá
0x88	0x8b5c	;ïà
0x89	0x8ca0	;ïâ
0x8a	0x8ce6	;ïä
0x8b	0x8d74	;ïã
0x8c	0x961c	;ïå
0x8d	0x9644	;ïç
0x8e	0x4fae	;ïé
0x8f	0x64ab	;ïè
0x90	0x6b66	;ïê
0x91	0x821e	;ïë
0x92	0x8461	;ïí
0x93	0x856a	;ïì
0x94	0x90e8	;ïî
0x95	0x5c01	;ïï
0x96	0x6953	;ïñ
0x97	0x98a8	;ïó
0x98	0x847a	;ïò
0x99	0x8557	;ïô
0x9a	0x4f0f	;ïö
0x9b	0x526f	;ïõ
0x9c	0x5fa9	;ïú
0x9d	0x5e45	;ïù
0x9e	0x670d	;ïû
0x9f	0x798f	;ïü
0xa0	0x8179	;ï†
0xa1	0x8907	;ï°
0xa2	0x8986	;ï¢
0xa3	0x6df5	;ï£
0xa4	0x5f17	;ï§
0xa5	0x6255	;ï•
0xa6	0x6cb8	;ï¶
0xa7	0x4ecf	;ïß
0xa8	0x7269	;ï®
0xa9	0x9b92	;ï©
0xaa	0x5206	;ï™
0xab	0x543b	;ï´
0xac	0x5674	;ï¨
0xad	0x58b3	;ï≠
0xae	0x61a4	;ïÆ
0xaf	0x626e	;ïØ
0xb0	0x711a	;ï∞
0xb1	0x596e	;ï±
0xb2	0x7c89	;ï≤
0xb3	0x7cde	;ï≥
0xb4	0x7d1b	;ï¥
0xb5	0x96f0	;ïµ
0xb6	0x6587	;ï∂
0xb7	0x805e	;ï∑
0xb8	0x4e19	;ï∏
0xb9	0x4f75	;ïπ
0xba	0x5175	;ï∫
0xbb	0x5840	;ïª
0xbc	0x5e63	;ïº
0xbd	0x5e73	;ïΩ
0xbe	0x5f0a	;ïæ
0xbf	0x67c4	;ïø
0xc0	0x4e26	;ï¿
0xc1	0x853d	;ï¡
0xc2	0x9589	;ï¬
0xc3	0x965b	;ï√
0xc4	0x7c73	;ïƒ
0xc5	0x9801	;ï≈
0xc6	0x50fb	;ï∆
0xc7	0x58c1	;ï«
0xc8	0x7656	;ï»
0xc9	0x78a7	;ï…
0xca	0x5225	;ï 
0xcb	0x77a5	;ïÀ
0xcc	0x8511	;ïÃ
0xcd	0x7b86	;ïÕ
0xce	0x504f	;ïŒ
0xcf	0x5909	;ïœ
0xd0	0x7247	;ï–
0xd1	0x7bc7	;ï—
0xd2	0x7de8	;ï“
0xd3	0x8fba	;ï”
0xd4	0x8fd4	;ï‘
0xd5	0x904d	;ï’
0xd6	0x4fbf	;ï÷
0xd7	0x52c9	;ï◊
0xd8	0x5a29	;ïÿ
0xd9	0x5f01	;ïŸ
0xda	0x97ad	;ï⁄
0xdb	0x4fdd	;ï€
0xdc	0x8217	;ï‹
0xdd	0x92ea	;ï›
0xde	0x5703	;ïﬁ
0xdf	0x6355	;ïﬂ
0xe0	0x6b69	;ï‡
0xe1	0x752b	;ï·
0xe2	0x88dc	;ï‚
0xe3	0x8f14	;ï„
0xe4	0x7a42	;ï‰
0xe5	0x52df	;ïÂ
0xe6	0x5893	;ïÊ
0xe7	0x6155	;ïÁ
0xe8	0x620a	;ïË
0xe9	0x66ae	;ïÈ
0xea	0x6bcd	;ïÍ
0xeb	0x7c3f	;ïÎ
0xec	0x83e9	;ïÏ
0xed	0x5023	;ïÌ
0xee	0x4ff8	;ïÓ
0xef	0x5305	;ïÔ
0xf0	0x5446	;ï
0xf1	0x5831	;ïÒ
0xf2	0x5949	;ïÚ
0xf3	0x5b9d	;ïÛ
0xf4	0x5cf0	;ïÙ
0xf5	0x5cef	;ïı
0xf6	0x5d29	;ïˆ
0xf7	0x5e96	;ï˜
0xf8	0x62b1	;ï¯
0xf9	0x6367	;ï˘
0xfa	0x653e	;ï˙
0xfb	0x65b9	;ï˚
0xfc	0x670b	;ï¸

DBCSTABLE 188           ;LeadByte = 0x96

0x40	0x6cd5	;ñ@
0x41	0x6ce1	;ñA
0x42	0x70f9	;ñB
0x43	0x7832	;ñC
0x44	0x7e2b	;ñD
0x45	0x80de	;ñE
0x46	0x82b3	;ñF
0x47	0x840c	;ñG
0x48	0x84ec	;ñH
0x49	0x8702	;ñI
0x4a	0x8912	;ñJ
0x4b	0x8a2a	;ñK
0x4c	0x8c4a	;ñL
0x4d	0x90a6	;ñM
0x4e	0x92d2	;ñN
0x4f	0x98fd	;ñO
0x50	0x9cf3	;ñP
0x51	0x9d6c	;ñQ
0x52	0x4e4f	;ñR
0x53	0x4ea1	;ñS
0x54	0x508d	;ñT
0x55	0x5256	;ñU
0x56	0x574a	;ñV
0x57	0x59a8	;ñW
0x58	0x5e3d	;ñX
0x59	0x5fd8	;ñY
0x5a	0x5fd9	;ñZ
0x5b	0x623f	;ñ[
0x5c	0x66b4	;ñ\
0x5d	0x671b	;ñ]
0x5e	0x67d0	;ñ^
0x5f	0x68d2	;ñ_
0x60	0x5192	;ñ`
0x61	0x7d21	;ña
0x62	0x80aa	;ñb
0x63	0x81a8	;ñc
0x64	0x8b00	;ñd
0x65	0x8c8c	;ñe
0x66	0x8cbf	;ñf
0x67	0x927e	;ñg
0x68	0x9632	;ñh
0x69	0x5420	;ñi
0x6a	0x982c	;ñj
0x6b	0x5317	;ñk
0x6c	0x50d5	;ñl
0x6d	0x535c	;ñm
0x6e	0x58a8	;ñn
0x6f	0x64b2	;ño
0x70	0x6734	;ñp
0x71	0x7267	;ñq
0x72	0x7766	;ñr
0x73	0x7a46	;ñs
0x74	0x91e6	;ñt
0x75	0x52c3	;ñu
0x76	0x6ca1	;ñv
0x77	0x6b86	;ñw
0x78	0x5800	;ñx
0x79	0x5e4c	;ñy
0x7a	0x5954	;ñz
0x7b	0x672c	;ñ{
0x7c	0x7ffb	;ñ|
0x7d	0x51e1	;ñ}
0x7e	0x76c6	;ñ~
0x80	0x6469	;ñÄ
0x81	0x78e8	;ñÅ
0x82	0x9b54	;ñÇ
0x83	0x9ebb	;ñÉ
0x84	0x57cb	;ñÑ
0x85	0x59b9	;ñÖ
0x86	0x6627	;ñÜ
0x87	0x679a	;ñá
0x88	0x6bce	;ñà
0x89	0x54e9	;ñâ
0x8a	0x69d9	;ñä
0x8b	0x5e55	;ñã
0x8c	0x819c	;ñå
0x8d	0x6795	;ñç
0x8e	0x9baa	;ñé
0x8f	0x67fe	;ñè
0x90	0x9c52	;ñê
0x91	0x685d	;ñë
0x92	0x4ea6	;ñí
0x93	0x4fe3	;ñì
0x94	0x53c8	;ñî
0x95	0x62b9	;ñï
0x96	0x672b	;ññ
0x97	0x6cab	;ñó
0x98	0x8fc4	;ñò
0x99	0x4fad	;ñô
0x9a	0x7e6d	;ñö
0x9b	0x9ebf	;ñõ
0x9c	0x4e07	;ñú
0x9d	0x6162	;ñù
0x9e	0x6e80	;ñû
0x9f	0x6f2b	;ñü
0xa0	0x8513	;ñ†
0xa1	0x5473	;ñ°
0xa2	0x672a	;ñ¢
0xa3	0x9b45	;ñ£
0xa4	0x5df3	;ñ§
0xa5	0x7b95	;ñ•
0xa6	0x5cac	;ñ¶
0xa7	0x5bc6	;ñß
0xa8	0x871c	;ñ®
0xa9	0x6e4a	;ñ©
0xaa	0x84d1	;ñ™
0xab	0x7a14	;ñ´
0xac	0x8108	;ñ¨
0xad	0x5999	;ñ≠
0xae	0x7c8d	;ñÆ
0xaf	0x6c11	;ñØ
0xb0	0x7720	;ñ∞
0xb1	0x52d9	;ñ±
0xb2	0x5922	;ñ≤
0xb3	0x7121	;ñ≥
0xb4	0x725f	;ñ¥
0xb5	0x77db	;ñµ
0xb6	0x9727	;ñ∂
0xb7	0x9d61	;ñ∑
0xb8	0x690b	;ñ∏
0xb9	0x5a7f	;ñπ
0xba	0x5a18	;ñ∫
0xbb	0x51a5	;ñª
0xbc	0x540d	;ñº
0xbd	0x547d	;ñΩ
0xbe	0x660e	;ñæ
0xbf	0x76df	;ñø
0xc0	0x8ff7	;ñ¿
0xc1	0x9298	;ñ¡
0xc2	0x9cf4	;ñ¬
0xc3	0x59ea	;ñ√
0xc4	0x725d	;ñƒ
0xc5	0x6ec5	;ñ≈
0xc6	0x514d	;ñ∆
0xc7	0x68c9	;ñ«
0xc8	0x7dbf	;ñ»
0xc9	0x7dec	;ñ…
0xca	0x9762	;ñ 
0xcb	0x9eba	;ñÀ
0xcc	0x6478	;ñÃ
0xcd	0x6a21	;ñÕ
0xce	0x8302	;ñŒ
0xcf	0x5984	;ñœ
0xd0	0x5b5f	;ñ–
0xd1	0x6bdb	;ñ—
0xd2	0x731b	;ñ“
0xd3	0x76f2	;ñ”
0xd4	0x7db2	;ñ‘
0xd5	0x8017	;ñ’
0xd6	0x8499	;ñ÷
0xd7	0x5132	;ñ◊
0xd8	0x6728	;ñÿ
0xd9	0x9ed9	;ñŸ
0xda	0x76ee	;ñ⁄
0xdb	0x6762	;ñ€
0xdc	0x52ff	;ñ‹
0xdd	0x9905	;ñ›
0xde	0x5c24	;ñﬁ
0xdf	0x623b	;ñﬂ
0xe0	0x7c7e	;ñ‡
0xe1	0x8cb0	;ñ·
0xe2	0x554f	;ñ‚
0xe3	0x60b6	;ñ„
0xe4	0x7d0b	;ñ‰
0xe5	0x9580	;ñÂ
0xe6	0x5301	;ñÊ
0xe7	0x4e5f	;ñÁ
0xe8	0x51b6	;ñË
0xe9	0x591c	;ñÈ
0xea	0x723a	;ñÍ
0xeb	0x8036	;ñÎ
0xec	0x91ce	;ñÏ
0xed	0x5f25	;ñÌ
0xee	0x77e2	;ñÓ
0xef	0x5384	;ñÔ
0xf0	0x5f79	;ñ
0xf1	0x7d04	;ñÒ
0xf2	0x85ac	;ñÚ
0xf3	0x8a33	;ñÛ
0xf4	0x8e8d	;ñÙ
0xf5	0x9756	;ñı
0xf6	0x67f3	;ñˆ
0xf7	0x85ae	;ñ˜
0xf8	0x9453	;ñ¯
0xf9	0x6109	;ñ˘
0xfa	0x6108	;ñ˙
0xfb	0x6cb9	;ñ˚
0xfc	0x7652	;ñ¸

DBCSTABLE 188           ;LeadByte = 0x97

0x40	0x8aed	;ó@
0x41	0x8f38	;óA
0x42	0x552f	;óB
0x43	0x4f51	;óC
0x44	0x512a	;óD
0x45	0x52c7	;óE
0x46	0x53cb	;óF
0x47	0x5ba5	;óG
0x48	0x5e7d	;óH
0x49	0x60a0	;óI
0x4a	0x6182	;óJ
0x4b	0x63d6	;óK
0x4c	0x6709	;óL
0x4d	0x67da	;óM
0x4e	0x6e67	;óN
0x4f	0x6d8c	;óO
0x50	0x7336	;óP
0x51	0x7337	;óQ
0x52	0x7531	;óR
0x53	0x7950	;óS
0x54	0x88d5	;óT
0x55	0x8a98	;óU
0x56	0x904a	;óV
0x57	0x9091	;óW
0x58	0x90f5	;óX
0x59	0x96c4	;óY
0x5a	0x878d	;óZ
0x5b	0x5915	;ó[
0x5c	0x4e88	;ó\
0x5d	0x4f59	;ó]
0x5e	0x4e0e	;ó^
0x5f	0x8a89	;ó_
0x60	0x8f3f	;ó`
0x61	0x9810	;óa
0x62	0x50ad	;ób
0x63	0x5e7c	;óc
0x64	0x5996	;ód
0x65	0x5bb9	;óe
0x66	0x5eb8	;óf
0x67	0x63da	;óg
0x68	0x63fa	;óh
0x69	0x64c1	;ói
0x6a	0x66dc	;ój
0x6b	0x694a	;ók
0x6c	0x69d8	;ól
0x6d	0x6d0b	;óm
0x6e	0x6eb6	;ón
0x6f	0x7194	;óo
0x70	0x7528	;óp
0x71	0x7aaf	;óq
0x72	0x7f8a	;ór
0x73	0x8000	;ós
0x74	0x8449	;ót
0x75	0x84c9	;óu
0x76	0x8981	;óv
0x77	0x8b21	;ów
0x78	0x8e0a	;óx
0x79	0x9065	;óy
0x7a	0x967d	;óz
0x7b	0x990a	;ó{
0x7c	0x617e	;ó|
0x7d	0x6291	;ó}
0x7e	0x6b32	;ó~
0x80	0x6c83	;óÄ
0x81	0x6d74	;óÅ
0x82	0x7fcc	;óÇ
0x83	0x7ffc	;óÉ
0x84	0x6dc0	;óÑ
0x85	0x7f85	;óÖ
0x86	0x87ba	;óÜ
0x87	0x88f8	;óá
0x88	0x6765	;óà
0x89	0x83b1	;óâ
0x8a	0x983c	;óä
0x8b	0x96f7	;óã
0x8c	0x6d1b	;óå
0x8d	0x7d61	;óç
0x8e	0x843d	;óé
0x8f	0x916a	;óè
0x90	0x4e71	;óê
0x91	0x5375	;óë
0x92	0x5d50	;óí
0x93	0x6b04	;óì
0x94	0x6feb	;óî
0x95	0x85cd	;óï
0x96	0x862d	;óñ
0x97	0x89a7	;óó
0x98	0x5229	;óò
0x99	0x540f	;óô
0x9a	0x5c65	;óö
0x9b	0x674e	;óõ
0x9c	0x68a8	;óú
0x9d	0x7406	;óù
0x9e	0x7483	;óû
0x9f	0x75e2	;óü
0xa0	0x88cf	;ó†
0xa1	0x88e1	;ó°
0xa2	0x91cc	;ó¢
0xa3	0x96e2	;ó£
0xa4	0x9678	;ó§
0xa5	0x5f8b	;ó•
0xa6	0x7387	;ó¶
0xa7	0x7acb	;óß
0xa8	0x844e	;ó®
0xa9	0x63a0	;ó©
0xaa	0x7565	;ó™
0xab	0x5289	;ó´
0xac	0x6d41	;ó¨
0xad	0x6e9c	;ó≠
0xae	0x7409	;óÆ
0xaf	0x7559	;óØ
0xb0	0x786b	;ó∞
0xb1	0x7c92	;ó±
0xb2	0x9686	;ó≤
0xb3	0x7adc	;ó≥
0xb4	0x9f8d	;ó¥
0xb5	0x4fb6	;óµ
0xb6	0x616e	;ó∂
0xb7	0x65c5	;ó∑
0xb8	0x865c	;ó∏
0xb9	0x4e86	;óπ
0xba	0x4eae	;ó∫
0xbb	0x50da	;óª
0xbc	0x4e21	;óº
0xbd	0x51cc	;óΩ
0xbe	0x5bee	;óæ
0xbf	0x6599	;óø
0xc0	0x6881	;ó¿
0xc1	0x6dbc	;ó¡
0xc2	0x731f	;ó¬
0xc3	0x7642	;ó√
0xc4	0x77ad	;óƒ
0xc5	0x7a1c	;ó≈
0xc6	0x7ce7	;ó∆
0xc7	0x826f	;ó«
0xc8	0x8ad2	;ó»
0xc9	0x907c	;ó…
0xca	0x91cf	;ó 
0xcb	0x9675	;óÀ
0xcc	0x9818	;óÃ
0xcd	0x529b	;óÕ
0xce	0x7dd1	;óŒ
0xcf	0x502b	;óœ
0xd0	0x5398	;ó–
0xd1	0x6797	;ó—
0xd2	0x6dcb	;ó“
0xd3	0x71d0	;ó”
0xd4	0x7433	;ó‘
0xd5	0x81e8	;ó’
0xd6	0x8f2a	;ó÷
0xd7	0x96a3	;ó◊
0xd8	0x9c57	;óÿ
0xd9	0x9e9f	;óŸ
0xda	0x7460	;ó⁄
0xdb	0x5841	;ó€
0xdc	0x6d99	;ó‹
0xdd	0x7d2f	;ó›
0xde	0x985e	;óﬁ
0xdf	0x4ee4	;óﬂ
0xe0	0x4f36	;ó‡
0xe1	0x4f8b	;ó·
0xe2	0x51b7	;ó‚
0xe3	0x52b1	;ó„
0xe4	0x5dba	;ó‰
0xe5	0x601c	;óÂ
0xe6	0x73b2	;óÊ
0xe7	0x793c	;óÁ
0xe8	0x82d3	;óË
0xe9	0x9234	;óÈ
0xea	0x96b7	;óÍ
0xeb	0x96f6	;óÎ
0xec	0x970a	;óÏ
0xed	0x9e97	;óÌ
0xee	0x9f62	;óÓ
0xef	0x66a6	;óÔ
0xf0	0x6b74	;ó
0xf1	0x5217	;óÒ
0xf2	0x52a3	;óÚ
0xf3	0x70c8	;óÛ
0xf4	0x88c2	;óÙ
0xf5	0x5ec9	;óı
0xf6	0x604b	;óˆ
0xf7	0x6190	;ó˜
0xf8	0x6f23	;ó¯
0xf9	0x7149	;ó˘
0xfa	0x7c3e	;ó˙
0xfb	0x7df4	;ó˚
0xfc	0x806f	;ó¸

DBCSTABLE 145           ;LeadByte = 0x98

0x40	0x84ee	;ò@
0x41	0x9023	;òA
0x42	0x932c	;òB
0x43	0x5442	;òC
0x44	0x9b6f	;òD
0x45	0x6ad3	;òE
0x46	0x7089	;òF
0x47	0x8cc2	;òG
0x48	0x8def	;òH
0x49	0x9732	;òI
0x4a	0x52b4	;òJ
0x4b	0x5a41	;òK
0x4c	0x5eca	;òL
0x4d	0x5f04	;òM
0x4e	0x6717	;òN
0x4f	0x697c	;òO
0x50	0x6994	;òP
0x51	0x6d6a	;òQ
0x52	0x6f0f	;òR
0x53	0x7262	;òS
0x54	0x72fc	;òT
0x55	0x7bed	;òU
0x56	0x8001	;òV
0x57	0x807e	;òW
0x58	0x874b	;òX
0x59	0x90ce	;òY
0x5a	0x516d	;òZ
0x5b	0x9e93	;ò[
0x5c	0x7984	;ò\
0x5d	0x808b	;ò]
0x5e	0x9332	;ò^
0x5f	0x8ad6	;ò_
0x60	0x502d	;ò`
0x61	0x548c	;òa
0x62	0x8a71	;òb
0x63	0x6b6a	;òc
0x64	0x8cc4	;òd
0x65	0x8107	;òe
0x66	0x60d1	;òf
0x67	0x67a0	;òg
0x68	0x9df2	;òh
0x69	0x4e99	;òi
0x6a	0x4e98	;òj
0x6b	0x9c10	;òk
0x6c	0x8a6b	;òl
0x6d	0x85c1	;òm
0x6e	0x8568	;òn
0x6f	0x6900	;òo
0x70	0x6e7e	;òp
0x71	0x7897	;òq
0x72	0x8155	;òr
0x9f	0x5f0c	;òü
0xa0	0x4e10	;ò†
0xa1	0x4e15	;ò°
0xa2	0x4e2a	;ò¢
0xa3	0x4e31	;ò£
0xa4	0x4e36	;ò§
0xa5	0x4e3c	;ò•
0xa6	0x4e3f	;ò¶
0xa7	0x4e42	;òß
0xa8	0x4e56	;ò®
0xa9	0x4e58	;ò©
0xaa	0x4e82	;ò™
0xab	0x4e85	;ò´
0xac	0x8c6b	;ò¨
0xad	0x4e8a	;ò≠
0xae	0x8212	;òÆ
0xaf	0x5f0d	;òØ
0xb0	0x4e8e	;ò∞
0xb1	0x4e9e	;ò±
0xb2	0x4e9f	;ò≤
0xb3	0x4ea0	;ò≥
0xb4	0x4ea2	;ò¥
0xb5	0x4eb0	;òµ
0xb6	0x4eb3	;ò∂
0xb7	0x4eb6	;ò∑
0xb8	0x4ece	;ò∏
0xb9	0x4ecd	;òπ
0xba	0x4ec4	;ò∫
0xbb	0x4ec6	;òª
0xbc	0x4ec2	;òº
0xbd	0x4ed7	;òΩ
0xbe	0x4ede	;òæ
0xbf	0x4eed	;òø
0xc0	0x4edf	;ò¿
0xc1	0x4ef7	;ò¡
0xc2	0x4f09	;ò¬
0xc3	0x4f5a	;ò√
0xc4	0x4f30	;òƒ
0xc5	0x4f5b	;ò≈
0xc6	0x4f5d	;ò∆
0xc7	0x4f57	;ò«
0xc8	0x4f47	;ò»
0xc9	0x4f76	;ò…
0xca	0x4f88	;ò 
0xcb	0x4f8f	;òÀ
0xcc	0x4f98	;òÃ
0xcd	0x4f7b	;òÕ
0xce	0x4f69	;òŒ
0xcf	0x4f70	;òœ
0xd0	0x4f91	;ò–
0xd1	0x4f6f	;ò—
0xd2	0x4f86	;ò“
0xd3	0x4f96	;ò”
0xd4	0x5118	;ò‘
0xd5	0x4fd4	;ò’
0xd6	0x4fdf	;ò÷
0xd7	0x4fce	;ò◊
0xd8	0x4fd8	;òÿ
0xd9	0x4fdb	;òŸ
0xda	0x4fd1	;ò⁄
0xdb	0x4fda	;ò€
0xdc	0x4fd0	;ò‹
0xdd	0x4fe4	;ò›
0xde	0x4fe5	;òﬁ
0xdf	0x501a	;òﬂ
0xe0	0x5028	;ò‡
0xe1	0x5014	;ò·
0xe2	0x502a	;ò‚
0xe3	0x5025	;ò„
0xe4	0x5005	;ò‰
0xe5	0x4f1c	;òÂ
0xe6	0x4ff6	;òÊ
0xe7	0x5021	;òÁ
0xe8	0x5029	;òË
0xe9	0x502c	;òÈ
0xea	0x4ffe	;òÍ
0xeb	0x4fef	;òÎ
0xec	0x5011	;òÏ
0xed	0x5006	;òÌ
0xee	0x5043	;òÓ
0xef	0x5047	;òÔ
0xf0	0x6703	;ò
0xf1	0x5055	;òÒ
0xf2	0x5050	;òÚ
0xf3	0x5048	;òÛ
0xf4	0x505a	;òÙ
0xf5	0x5056	;òı
0xf6	0x506c	;òˆ
0xf7	0x5078	;ò˜
0xf8	0x5080	;ò¯
0xf9	0x509a	;ò˘
0xfa	0x5085	;ò˙
0xfb	0x50b4	;ò˚
0xfc	0x50b2	;ò¸

DBCSTABLE 188           ;LeadByte = 0x99

0x40	0x50c9	;ô@
0x41	0x50ca	;ôA
0x42	0x50b3	;ôB
0x43	0x50c2	;ôC
0x44	0x50d6	;ôD
0x45	0x50de	;ôE
0x46	0x50e5	;ôF
0x47	0x50ed	;ôG
0x48	0x50e3	;ôH
0x49	0x50ee	;ôI
0x4a	0x50f9	;ôJ
0x4b	0x50f5	;ôK
0x4c	0x5109	;ôL
0x4d	0x5101	;ôM
0x4e	0x5102	;ôN
0x4f	0x5116	;ôO
0x50	0x5115	;ôP
0x51	0x5114	;ôQ
0x52	0x511a	;ôR
0x53	0x5121	;ôS
0x54	0x513a	;ôT
0x55	0x5137	;ôU
0x56	0x513c	;ôV
0x57	0x513b	;ôW
0x58	0x513f	;ôX
0x59	0x5140	;ôY
0x5a	0x5152	;ôZ
0x5b	0x514c	;ô[
0x5c	0x5154	;ô\
0x5d	0x5162	;ô]
0x5e	0x7af8	;ô^
0x5f	0x5169	;ô_
0x60	0x516a	;ô`
0x61	0x516e	;ôa
0x62	0x5180	;ôb
0x63	0x5182	;ôc
0x64	0x56d8	;ôd
0x65	0x518c	;ôe
0x66	0x5189	;ôf
0x67	0x518f	;ôg
0x68	0x5191	;ôh
0x69	0x5193	;ôi
0x6a	0x5195	;ôj
0x6b	0x5196	;ôk
0x6c	0x51a4	;ôl
0x6d	0x51a6	;ôm
0x6e	0x51a2	;ôn
0x6f	0x51a9	;ôo
0x70	0x51aa	;ôp
0x71	0x51ab	;ôq
0x72	0x51b3	;ôr
0x73	0x51b1	;ôs
0x74	0x51b2	;ôt
0x75	0x51b0	;ôu
0x76	0x51b5	;ôv
0x77	0x51bd	;ôw
0x78	0x51c5	;ôx
0x79	0x51c9	;ôy
0x7a	0x51db	;ôz
0x7b	0x51e0	;ô{
0x7c	0x8655	;ô|
0x7d	0x51e9	;ô}
0x7e	0x51ed	;ô~
0x80	0x51f0	;ôÄ
0x81	0x51f5	;ôÅ
0x82	0x51fe	;ôÇ
0x83	0x5204	;ôÉ
0x84	0x520b	;ôÑ
0x85	0x5214	;ôÖ
0x86	0x520e	;ôÜ
0x87	0x5227	;ôá
0x88	0x522a	;ôà
0x89	0x522e	;ôâ
0x8a	0x5233	;ôä
0x8b	0x5239	;ôã
0x8c	0x524f	;ôå
0x8d	0x5244	;ôç
0x8e	0x524b	;ôé
0x8f	0x524c	;ôè
0x90	0x525e	;ôê
0x91	0x5254	;ôë
0x92	0x526a	;ôí
0x93	0x5274	;ôì
0x94	0x5269	;ôî
0x95	0x5273	;ôï
0x96	0x527f	;ôñ
0x97	0x527d	;ôó
0x98	0x528d	;ôò
0x99	0x5294	;ôô
0x9a	0x5292	;ôö
0x9b	0x5271	;ôõ
0x9c	0x5288	;ôú
0x9d	0x5291	;ôù
0x9e	0x8fa8	;ôû
0x9f	0x8fa7	;ôü
0xa0	0x52ac	;ô†
0xa1	0x52ad	;ô°
0xa2	0x52bc	;ô¢
