#
#       Name:             Adobe Zapf Dingbats Encoding to Unicode
#       Unicode version:  1.1
#       Table version:    0.1
#       Table format:     Format A
#       Date:             05 May 1995
#
#       Copyright (c) 1991-1995 Unicode, Inc.  All Rights reserved.
#
#       This file is provided as-is by Unicode, Inc. (The Unicode Consortium).
#       No claims are made as to fitness for any particular purpose.  No
#       warranties of any kind are expressed or implied.  The recipient
#       agrees to determine applicability of information provided.  If this
#       file has been provided on magnetic media by Unicode, Inc., the sole
#       remedy for any claim will be exchange of defective media within 90
#       days of receipt.
#
#       Recipient is granted the right to make copies in any form for
#       internal distribution and to freely use the information supplied
#       in the creation of products supporting Unicode.  Unicode, Inc.
#       specifically excludes the right to re-distribute this file directly
#       to third parties or other organizations whether for profit or not.
#
#       General notes:
#
#       Format:  Three tab-separated columns
#                Column #1 is the Unicode code (in hex)
#                Column #2 is the Adobe code (in hex)
#                Column #3 # Unicode name <tab> # Adobe name
#
#       Any comments or questions contact: unicode-inc@unicode.org
#
2192	D5	# RIGHT ARROW	# a161
272D	4D	# OUTLINED BLACK STAR	# a40
272E	4E	# HEAVY OUTLINED BLACK STAR	# a41
272F	4F	# PINWHEEL STAR	# a42
2730	50	# SHADOWED WHITE STAR	# a43
2731	51	# HEAVY ASTERISK	# a44
2732	52	# OPEN CENTER ASTERISK	# a45
2733	53	# EIGHT SPOKED ASTERISK	# a46
2734	54	# EIGHT POINTED BLACK STAR	# a47
2735	55	# EIGHT POINTED PINWHEEL STAR	# a48
2736	56	# SIX POINTED BLACK STAR	# a49
2737	57	# EIGHT POINTED RECTILINEAR BLACK STAR	# a50
2738	58	# HEAVY EIGHT POINTED RECTILINEAR BLACK STAR	# a51
2739	59	# TWELVE POINTED BLACK STAR	# a52
273A	5A	# SIXTEEN POINTED ASTERISK	# a53
273B	5B	# TEARDROP-SPOKED ASTERISK	# a54
273C	5C	# OPEN CENTER TEARDROP-SPOKED ASTERISK	# a55
273D	5D	# HEAVY TEARDROP-SPOKED ASTERISK	# a56
273E	5E	# SIX PETALLED BLACK AND WHITE FLORETTE	# a57
273F	5F	# BLACK FLORETTE	# a58
2740	60	# WHITE FLORETTE	# a59
2741	61	# EIGHT PETALLED OUTLINED BLACK FLORETTE	# a60
2742	62	# CIRCLED OPEN CENTER EIGHT POINTED STAR	# a61
2743	63	# HEAVY TEARDROP-SPOKED PINWHEEL ASTERISK	# a62
2744	64	# SNOWFLAKE	# a63
2745	65	# TIGHT TRIFOLIATE SNOWFLAKE	# a64
2746	66	# HEAVY CHEVRON SNOWFLAKE	# a65
2747	67	# SPARKLE	# a66
2748	68	# HEAVY SPARKLE	# a67
2749	69	# BALLOON-SPOKED ASTERISK	# a68
274A	6A	# EIGHT TEARDROP-SPOKED PROPELLER ASTERISK	# a69
274B	6B	# HEAVY EIGHT TEARDROP-SPOKED PROPELLER ASTERISK	# a70
274D	6D	# SHADOWED WHITE CIRCLE	# a72
274F	6F	# LOWER RIGHT DROP-SHADOWED WHITE SQUARE	# a74
2750	70	# UPPER RIGHT DROP-SHADOWED WHITE SQUARE	# a203
2751	71	# LOWER RIGHT SHADOWED WHITE SQUARE	# a75
2752	72	# UPPER RIGHT SHADOWED WHITE SQUARE	# a204
2756	76	# BLACK DIAMOND MINUS WHITE X	# a79
2758	78	# LIGHT VERTICAL BAR	# a82
2759	79	# MEDIUM VERTICAL BAR	# a83
275A	7A	# HEAVY VERTICAL BAR	# a84
275B	7B	# HEAVY SINGLE TURNED COMMA QUOTATION MARK ORNAMENT	# a97
275C	7C	# HEAVY SINGLE COMMA QUOTATION MARK ORNAMENT	# a98
275D	7D	# HEAVY DOUBLE TURNED COMMA QUOTATION MARK ORNAMENT	# a99
275E	7E	# HEAVY DOUBLE COMMA QUOTATION MARK ORNAMENT	# a100
2761	A1	# CURVED STEM PARAGRAPH SIGN ORNAMENT	# a101
2762	A2	# HEAVY EXCLAMATION MARK ORNAMENT	# a102
2763	A3	# HEAVY HEART EXCLAMATION MARK ORNAMENT	# a103
2764	A4	# HEAVY BLACK HEART	# a104
2765	A5	# ROTATED HEAVY BLACK HEART BULLET	# a105
2766	A6	# FLORAL HEART	# a106
2767	A7	# ROTATED FLORAL HEART BULLET	# a107
2776	B6	# INVERSE CIRCLED DIGIT ONE	# a130
2777	B7	# INVERSE CIRCLED DIGIT TWO	# a131
2778	B8	# INVERSE CIRCLED DIGIT THREE	# a132
2779	B9	# INVERSE CIRCLED DIGIT FOUR	# a133
277A	BA	# INVERSE CIRCLED DIGIT FIVE	# a134
277B	BB	# INVERSE CIRCLED DIGIT SIX	# a135
277C	BC	# INVERSE CIRCLED DIGIT SEVEN	# a136
277D	BD	# INVERSE CIRCLED DIGIT EIGHT	# a137
277E	BE	# INVERSE CIRCLED DIGIT NINE	# a138
277F	BF	# INVERSE CIRCLED NUMBER TEN	# a139
2780	C0	# CIRCLED SANS-SERIF DIGIT ONE	# a140
2781	C1	# CIRCLED SANS-SERIF DIGIT TWO	# a141
2782	C2	# CIRCLED SANS-SERIF DIGIT THREE	# a142
2783	C3	# CIRCLED SANS-SERIF DIGIT FOUR	# a143
2784	C4	# CIRCLED SANS-SERIF DIGIT FIVE	# a144
2785	C5	# CIRCLED SANS-SERIF DIGIT SIX	# a145
2786	C6	# CIRCLED SANS-SERIF DIGIT SEVEN	# a146
2787	C7	# CIRCLED SANS-SERIF DIGIT EIGHT	# a147
2788	C8	# CIRCLED SANS-SERIF DIGIT NINE	# a148
2789	C9	# CIRCLED SANS-SERIF NUMBER TEN	# a149
278A	CA	# INVERSE CIRCLED SANS-SERIF DIGIT ONE	# a150
278B	CB	# INVERSE CIRCLED SANS-SERIF DIGIT TWO	# a151
278C	CC	# INVERSE CIRCLED SANS-SERIF DIGIT THREE	# a152
278D	CD	# INVERSE CIRCLED SANS-SERIF DIGIT FOUR	# a153
278E	CE	# INVERSE CIRCLED SANS-SERIF DIGIT FIVE	# a154
278F	CF	# INVERSE CIRCLED SANS-SERIF DIGIT SIX	# a155
2790	D0	# INVERSE CIRCLED SANS-SERIF DIGIT SEVEN	# a156
2791	D1	# INVERSE CIRCLED SANS-SERIF DIGIT EIGHT	# a157
2792	D2	# INVERSE CIRCLED SANS-SERIF DIGIT NINE	# a158
2793	D3	# INVERSE CIRCLED SANS-SERIF NUMBER TEN	# a159
2794	D4	# HEAVY WIDE-HEADED RIGHT ARROW	# a160
2798	D8	# HEAVY LOWER RIGHT ARROW	# a196
2799	D9	# HEAVY RIGHT ARROW	# a165
279A	DA	# HEAVY UPPER RIGHT ARROW	# a192
279B	DB	# DRAFTING POINT RIGHT ARROW	# a166
279C	DC	# HEAVY ROUND-TIPPED RIGHT ARROW	# a167
279D	DD	# TRIANGLE-HEADED RIGHT ARROW	# a168
279E	DE	# HEAVY TRIANGLE-HEADED RIGHT ARROW	# a169
279F	DF	# DASHED TRIANGLE-HEADED RIGHT ARROW	# a170
27A0	E0	# HEAVY DASHED TRIANGLE-HEADED RIGHT ARROW	# a171
27A1	E1	# BLACK RIGHT ARROW	# a172
27A2	E2	# THREE-D TOP-LIGHTED RIGHT ARROWHEAD	# a173
27A3	E3	# THREE-D BOTTOM-LIGHTED RIGHT ARROWHEAD	# a162
27A4	E4	# BLACK RIGHT ARROWHEAD	# a174
27A5	E5	# HEAVY BLACK CURVED DOWN AND RIGHT ARROW	# a175
27A6	E6	# HEAVY BLACK CURVED UP AND RIGHT ARROW	# a176
27A7	E7	# SQUAT BLACK RIGHT ARROW	# a177
27A8	E8	# HEAVY CONCAVE-POINTED BLACK RIGHT ARROW	# a178
27A9	E9	# RIGHT-SHADED WHITE RIGHT ARROW	# a179
27AA	EA	# LEFT-SHADED WHITE RIGHT ARROW	# a193
27AB	EB	# BACK-TILTED SHADOWED WHITE RIGHT ARROW	# a180
27AC	EC	# FRONT-TILTED SHADOWED WHITE RIGHT ARROW	# a199
27AD	ED	# HEAVY LOWER RIGHT-SHADOWED WHITE RIGHT ARROW	# a181
27AE	EE	# HEAVY UPPER RIGHT-SHADOWED WHITE RIGHT ARROW	# a200
27AF	EF	# NOTCHED LOWER RIGHT-SHADOWED WHITE RIGHT ARROW	# a182
27B1	F1	# NOTCHED UPPER RIGHT-SHADOWED WHITE RIGHT ARROW	# a201
27B2	F2	# CIRCLED HEAVY WHITE RIGHT ARROW	# a183
27B3	F3	# WHITE-FEATHERED RIGHT ARROW	# a184
27B4	F4	# BLACK-FEATHERED LOWER RIGHT ARROW	# a197
27B5	F5	# BLACK-FEATHERED RIGHT ARROW	# a185
27B6	F6	# BLACK-FEATHERED UPPER RIGHT ARROW	# a194
27B7	F7	# HEAVY BLACK-FEATHERED LOWER RIGHT ARROW	# a198
27B8	F8	# HEAVY BLACK-FEATHERED RIGHT ARROW	# a186
27B9	F9	# HEAVY BLACK-FEATHERED UPPER RIGHT ARROW	# a195
27BA	FA	# TEARDROP-BARBED RIGHT ARROW	# a187
27BB	FB	# HEAVY TEARDROP-SHANKED RIGHT ARROW	# a188
27BC	FC	# WEDGE-TAILED RIGHT ARROW	# a189
27BD	FD	# HEAVY WEDGE-TAILED RIGHT ARROW	# a190
27BE	FE	# OPEN-OUTLINED RIGHT ARROW	# a191
