#
#       Name:             Adobe Standard Encoding to Unicode
#       Unicode version:  1.1
#       Table version:    0.1
#       Table format:     Format A
#       Date:             05 May 1995
#
#       Copyright (c) 1991-1995 Unicode, Inc.  All Rights reserved.
#
#       This file is provided as-is by Unicode, Inc. (The Unicode Consortium).
#       No claims are made as to fitness for any particular purpose.  No
#       warranties of any kind are expressed or implied.  The recipient
#       agrees to determine applicability of information provided.  If this
#       file has been provided on magnetic media by Unicode, Inc., the sole
#       remedy for any claim will be exchange of defective media within 90
#       days of receipt.
#
#       Recipient is granted the right to make copies in any form for
#       internal distribution and to freely use the information supplied
#       in the creation of products supporting Unicode.  Unicode, Inc.
#       specifically excludes the right to re-distribute this file directly
#       to third parties or other organizations whether for profit or not.
#
#       General notes:
#
#       Format:  Three tab-separated columns
#                Column #1 is the Unicode code (in hex)
#                Column #2 is the Adobe code (in hex)
#                Column #3 # Unicode name <tab> # Adobe name
#
#       Any comments or questions contact: unicode-inc@unicode.org
#
0020	20	# SPACE	# space
0051	51	# LATIN CAPITAL LETTER Q	# Q
0052	52	# LATIN CAPITAL LETTER R	# R
0053	53	# LATIN CAPITAL LETTER S	# S
0054	54	# LATIN CAPITAL LETTER T	# T
0055	55	# LATIN CAPITAL LETTER U	# U
0056	56	# LATIN CAPITAL LETTER V	# V
0057	57	# LATIN CAPITAL LETTER W	# W
0058	58	# LATIN CAPITAL LETTER X	# X
0059	59	# LATIN CAPITAL LETTER Y	# Y
005A	5A	# LATIN CAPITAL LETTER Z	# Z
005B	5B	# OPENING SQUARE BRACKET	# bracketleft
005C	5C	# BACKSLASH	# backslash
005D	5D	# CLOSING SQUARE BRACKET	# bracketright
005E	5E	# SPACING CIRCUMFLEX	# asciicircum
005F	5F	# SPACING UNDERSCORE	# underscore
0060	C1	# SPACING GRAVE	# grave
0061	61	# LATIN SMALL LETTER A	# a
0062	62	# LATIN SMALL LETTER B	# b
0063	63	# LATIN SMALL LETTER C	# c
0064	64	# LATIN SMALL LETTER D	# d
0065	65	# LATIN SMALL LETTER E	# e
0066	66	# LATIN SMALL LETTER F	# f
0067	67	# LATIN SMALL LETTER G	# g
0068	68	# LATIN SMALL LETTER H	# h
0069	69	# LATIN SMALL LETTER I	# i
006A	6A	# LATIN SMALL LETTER J	# j
006B	6B	# LATIN SMALL LETTER K	# k
006C	6C	# LATIN SMALL LETTER L	# l
006D	6D	# LATIN SMALL LETTER M	# m
006E	6E	# LATIN SMALL LETTER N	# n
006F	6F	# LATIN SMALL LETTER O	# o
0070	70	# LATIN SMALL LETTER P	# p
0071	71	# LATIN SMALL LETTER Q	# q
0072	72	# LATIN SMALL LETTER R	# r
0073	73	# LATIN SMALL LETTER S	# s
0074	74	# LATIN SMALL LETTER T	# t
0075	75	# LATIN SMALL LETTER U	# u
0076	76	# LATIN SMALL LETTER V	# v
0077	77	# LATIN SMALL LETTER W	# w
0078	78	# LATIN SMALL LETTER X	# x
0079	79	# LATIN SMALL LETTER Y	# y
007A	7A	# LATIN SMALL LETTER Z	# z
007B	7B	# OPENING CURLY BRACKET	# braceleft
007C	7C	# VERTICAL BAR	# bar
007D	7D	# CLOSING CURLY BRACKET	# braceright
007E	7E	# TILDE	# asciitilde
00A1	A1	# INVERTED EXCLAMATION MARK	# exclamdown
00A2	A2	# CENT SIGN	# cent
00A3	A3	# POUND SIGN	# sterling
00A4	A8	# CURRENCY SIGN	# currency
00A5	A5	# YEN SIGN	# yen
00A7	A7	# SECTION SIGN	# section
00A8	C8	# SPACING DIAERESIS	# dieresis
00AA	E3	# FEMININE ORDINAL INDICATOR	# ordfeminine
00AB	AB	# LEFT POINTING GUILLEMET	# guillemotleft
00AF	C5	# SPACING MACRON	# macron
00B4	C2	# SPACING ACUTE	# acute
00B6	B6	# PARAGRAPH SIGN	# paragraph
00B7	B4	# MIDDLE DOT	# periodcentered
00B8	CB	# SPACING CEDILLA	# cedilla
00BA	EB	# MASCULINE ORDINAL INDICATOR	# ordmasculine
00BB	BB	# RIGHT POINTING GUILLEMET	# guillemotright
00BF	BF	# INVERTED QUESTION MARK	# questiondown
00C6	E1	# LATIN CAPITAL LETTER A E	# AE
00D8	E9	# LATIN CAPITAL LETTER O SLASH	# Oslash
00DF	FB	# LATIN SMALL LETTER SHARP S	# germandbls
00E6	F1	# LATIN SMALL LETTER A E	# ae
00F8	F9	# LATIN SMALL LETTER O SLASH	# oslash
0131	F5	# LATIN SMALL LETTER DOTLESS I	# dotlessi
0141	E8	# LATIN CAPITAL LETTER L SLASH	# Lslash
0142	F8	# LATIN SMALL LETTER L SLASH	# lslash
0152	EA	# LATIN CAPITAL LETTER O E	# OE
0153	FA	# LATIN SMALL LETTER O E	# oe
0192	A6	# LATIN SMALL LETTER SCRIPT F	# florin
02C6	C3	# MODIFIER LETTER CIRCUMFLEX	# circumflex
02C7	CF	# MODIFIER LETTER HACEK	# caron
02D8	C6	# SPACING BREVE	# breve
02D9	C7	# SPACING DOT ABOVE	# dotaccent
02DA	CA	# SPACING RING ABOVE	# ring
02DB	CE	# SPACING OGONEK	# ogonek
02DC	C4	# SPACING TILDE	# tilde
02DD	CD	# SPACING DOUBLE ACUTE	# hungarumlaut
2013	B1	# EN DASH	# endash
2014	D0	# EM DASH	# emdash
2018	60	# SINGLE TURNED COMMA QUOTATION MARK	# quoteleft
2019	27	# SINGLE COMMA QUOTATION MARK	# quoteright
201A	B8	# LOW SINGLE COMMA QUOTATION MARK	# quotesinglbase
201C	AA	# DOUBLE TURNED COMMA QUOTATION MARK	# quotedblleft
201D	BA	# DOUBLE COMMA QUOTATION MARK	# quotedblright
201E	B9	# LOW DOUBLE COMMA QUOTATION MARK	# quotedblbase
2020	B2	# DAGGER	# dagger
2021	B3	# DOUBLE DAGGER	# daggerdbl
2022	B7	# BULLET	# bullet
2026	BC	# HORIZONTAL ELLIPSIS	# ellipsis
2030	BD	# PER MILLE SIGN	# perthousand
2039	AC	# LEFT POINTING SINGLE GUILLEMET	# guilsinglleft
203A	AD	# RIGHT POINTING SINGLE GUILLEMET	# guilsinglright
2044	A4	# FRACTION SLASH	# fraction
FB01	AE	# LATIN SMALL LIGATURE FI	# fi
FB02	AF	# LATIN SMALL LIGATURE FL	# fl
