#
#       Name:             Adobe Symbol Encoding to Unicode
#       Unicode version:  1.1
#       Table version:    0.1
#       Table format:     Format A
#       Date:             05 May 1995
#
#       Copyright (c) 1991-1995 Unicode, Inc.  All Rights reserved.
#
#       This file is provided as-is by Unicode, Inc. (The Unicode Consortium).
#       No claims are made as to fitness for any particular purpose.  No
#       warranties of any kind are expressed or implied.  The recipient
#       agrees to determine applicability of information provided.  If this
#       file has been provided on magnetic media by Unicode, Inc., the sole
#       remedy for any claim will be exchange of defective media within 90
#       days of receipt.
#
#       Recipient is granted the right to make copies in any form for
#       internal distribution and to freely use the information supplied
#       in the creation of products supporting Unicode.  Unicode, Inc.
#       specifically excludes the right to re-distribute this file directly
#       to third parties or other organizations whether for profit or not.
#
#       Format:  Three tab-separated columns
#                Column #1 is the Unicode code (in hex)
#                Column #2 is the Adobe code (in hex)
#                Column #3 # Unicode name <tab> # Adobe name
#
#       General notes:  There are a number of glyph parts in the Adobe Symbol
#       Encoding which are not in the Unicode set.  They are as follows:
#
#       BD	arrowvertex
#       BE	arrowhorizex
#       E6	parenlefttp
#       E7	parenleftex
#       E8	parenleftbt
#       E9	bracketlefttp
#       EA	bracketleftex
#       EB	bracketleftbt
#       EC	bracelefttp
#       ED	braceleftmid
#       EE	braceleftbt
#       EF	braceex
#       F4	integralex
#       F6	parenrighttp
#       F7	parenrightex
#       F8	parenrightbt
#       F9	bracketrighttp
#       FA	bracketrightex
#       FB	bracketrightbt
#       FC	bracerighttp
#       FD	bracerightmid
#       FE	bracerightbt
#
#       Any comments or questions contact: unicode-inc@unicode.org
#
#
0020	20	# SPACE	# space
03C2	56	# GREEK SMALL LETTER FINAL SIGMA	# sigma1
03C3	73	# GREEK SMALL LETTER SIGMA	# sigma
03C4	74	# GREEK SMALL LETTER TAU	# tau
03C5	75	# GREEK SMALL LETTER UPSILON	# upsilon
03C6	66	# GREEK SMALL LETTER PHI	# phi
03C7	63	# GREEK SMALL LETTER CHI	# chi
03C8	79	# GREEK SMALL LETTER PSI	# psi
03C9	77	# GREEK SMALL LETTER OMEGA	# omega
03D1	4A	# GREEK SMALL LETTER SCRIPT THETA	# theta1
03D2	A1	# GREEK CAPITAL LETTER UPSILON HOOK	# Upsilon1
03D5	6A	# GREEK SMALL LETTER SCRIPT PHI	# phi1
03D6	76	# GREEK SMALL LETTER OMEGA PI	# omega1
2022	B7	# BULLET	# bullet
2026	BC	# HORIZONTAL ELLIPSIS	# ellipsis
2032	A2	# PRIME	# minute
2033	B2	# DOUBLE PRIME	# second
203E	60	# SPACING OVERSCORE	# radicalex
2044	A4	# FRACTION SLASH	# fraction
2111	C1	# BLACK-LETTER I	# Ifraktur
2118	C3	# SCRIPT P	# weierstrass
211C	C2	# BLACK-LETTER R	# Rfraktur
2122	D4	# TRADEMARK	# trademarkserif
2122	E4	# TRADEMARK	# trademarksans
2126	57	# OHM	# Omega
2135	C0	# FIRST TRANSFINITE CARDINAL	# aleph
2190	AC	# LEFT ARROW	# arrowleft
2191	AD	# UP ARROW	# arrowup
2192	AE	# RIGHT ARROW	# arrowright
2193	AF	# DOWN ARROW	# arrowdown
2194	AB	# LEFT RIGHT ARROW	# arrowboth
21B5	BF	# DOWN ARROW WITH CORNER LEFT	# carriagereturn
21D0	DC	# LEFT DOUBLE ARROW	# arrowdblleft
21D1	DD	# UP DOUBLE ARROW	# arrowdblup
21D2	DE	# RIGHT DOUBLE ARROW	# arrowdblright
21D3	DF	# DOWN DOUBLE ARROW	# arrowdbldown
21D4	DB	# LEFT RIGHT DOUBLE ARROW	# arrowdblboth
2200	22	# FOR ALL	# universal
2202	B6	# PARTIAL DIFFERENTIAL	# partialdiff
2203	24	# THERE EXISTS	# existential
2205	C6	# EMPTY SET	# emptyset
2206	44	# INCREMENT	# Delta
2207	D1	# NABLA	# gradient
2208	CE	# ELEMENT OF	# element
2209	CF	# NOT AN ELEMENT OF	# notelement
220B	27	# CONTAINS AS MEMBER	# suchthat
220F	D5	# N-ARY PRODUCT	# product
2211	E5	# N-ARY SUMMATION	# summation
2212	2D	# MINUS SIGN	# minus
2215	A4	# DIVISION SLASH	# fraction
2217	2A	# ASTERISK OPERATOR	# asteriskmath
221A	D6	# SQUARE ROOT	# radical
221D	B5	# PROPORTIONAL TO	# proportional
221E	A5	# INFINITY	# infinity
2220	D0	# ANGLE	# angle
2227	D9	# LOGICAL AND	# logicaland
2228	DA	# LOGICAL OR	# logicalor
2229	C7	# INTERSECTION	# intersection
222A	C8	# UNION	# union
222B	F2	# INTEGRAL	# integral
2234	5C	# THEREFORE	# therefore
223C	7E	# TILDE OPERATOR	# similar
2245	40	# APPROXIMATELY EQUAL TO	# congruent
2248	BB	# ALMOST EQUAL TO	# approxequal
2260	B9	# NOT EQUAL TO	# notequal
2261	BA	# IDENTICAL TO	# equivalence
2264	A3	# LESS THAN OR EQUAL TO	# lessequal
2265	B3	# GREATER THAN OR EQUAL TO	# greaterequal
2282	CC	# SUBSET OF	# propersubset
2283	C9	# SUPERSET OF	# propersuperset
2284	CB	# NOT A SUBSET OF	# notsubset
2286	CD	# SUBSET OF OR EQUAL TO	# reflexsubset
2287	CA	# SUPERSET OF OR EQUAL TO	# reflexsuperset
2295	C5	# CIRCLED PLUS	# circleplus
2297	C4	# CIRCLED TIMES	# circlemultiply
22A5	5E	# UP TACK	# perpendicular
22C5	D7	# DOT OPERATOR	# dotmath
2320	F3	# TOP HALF INTEGRAL	# integraltp
2321	F5	# BOTTOM HALF INTEGRAL	# integralbt
2329	E1	# BRA	# angleleft
232A	F1	# KET	# angleright
25CA	E0	# LOZENGE	# lozenge
2660	AA	# BLACK SPADE SUIT	# spade
2663	A7	# BLACK CLUB SUIT	# club
2665	A9	# BLACK HEART SUIT	# heart
2666	A8	# BLACK DIAMOND SUIT	# diamond
